16,16,16,16,16,16,16,16,16,16,16,16,7,1,8,16,16,16,7,1,2,1,2,1,2,1,2,9,16
16,11,5,6,5,6,5,6,5,12,16,16,10,1,9,16,16,0,10,2,1,2,1,2,1,2,1,8,16
16,7,1,2,1,2,1,2,1,8,16,16,7,1,8,16,16,16,7,1,2,4,3,4,3,4,3,14,16
16,10,2,2,3,4,3,4,3,14,16,16,10,1,9,16,16,16,10,2,8,16,16,16,16,16,16,16,16
16,7,1,8,16,16,16,16,16,16,16,16,7,1,8,16,16,16,7,2,9,16,16,11,6,6,5,12,16
16,10,2,8,16,16,16,16,16,16,16,16,10,1,9,16,16,16,10,2,1,5,6,1,2,1,2,9,16
16,7,2,2,5,6,5,6,12,16,16,16,7,1,8,16,16,16,7,2,2,2,2,1,2,2,2,1,6
16,7,2,1,2,1,2,1,2,5,6,5,2,1,2,5,6,5,1,1,2,1,2,1,2,1,2,1,2
16,13,4,3,4,3,2,2,1,1,2,1,2,2,1,2,1,2,2,1,2,3,4,4,3,4,3,4,4
16,16,16,16,16,16,7,1,2,3,4,3,2,1,2,3,4,3,2,2,8,16,16,16,16,16,16,16,16
16,16,0,16,16,16,10,2,8,16,16,16,7,1,8,16,16,16,7,1,9,16,16,16,16,16,16,16,16
16,11,5,6,5,6,2,1,9,16,16,16,10,2,9,16,16,16,10,2,8,16,16,16,16,16,16,16,16
16,10,1,2,1,2,1,2,8,16,16,16,7,1,8,16,16,16,7,1,9,16,16,11,5,6,5,6,6
16,7,15,1,2,1,2,1,8,16,16,16,10,2,9,16,16,16,10,2,2,5,5,2,1,2,1,2,1
16,13,3,4,3,4,3,4,14,16,16,16,7,1,8,16,16,16,10,2,2,1,2,1,2,3,4,3,4
16,16,16,16,0,16,16,16,16,16,16,16,10,2,9,16,16,16,10,2,1,2,1,2,9,16,16,16,16
